0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:51 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:51 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:51 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:51 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:52 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:53 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:11:00 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:11:29 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:11:45 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:12:49 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:13:16 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:20:17 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:20:53 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:21:41 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:21:42 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:21:51 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:22:20 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:22:21 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:22:22 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:23:19 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:26:35 +0900] "GET /webProject/day3/colorTest.html HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:28:09 +0900] "GET /webProject/doit/06/cascading.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:30:58 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:31:10 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:31:48 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:31:49 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
